figure_id,figure_title,source_file,variables,N,primary_values,plot_type,notes
1,Overall intention-behaviour association,results/paper1_final/02_measurement/construct_scores.csv,INT; BE,1166,r=0.6515; 95% CI [0.6171, 0.6833]; p=8.83e-142,Scatter with linear fit + 95% CI band,Aggregate association only; does not imply uniform individual alignment
2,Distribution of the standardized intention-behaviour gap,results/paper1_final/03_intention_behavior_gap/gap_scores.npy and construct_scores.csv,GAP = z(INT) - z(BE),1166,Mean~0; SD=0.8349; range [-3.520, +2.827],Histogram with normal density overlay,GAP is a z-score difference not a behavioural unit
3,Direction of respondent-level intention-behaviour discrepancy,results/paper1_final/03_intention_behavior_gap/04_gap_evidence.csv,Direction labels,1166,INT>BE 44.94% (n=524); BE>INT 55.06% (n=642),Horizontal 100% stacked bar,No pie chart; both directions present
4,Model selection for Gaussian mixture profiles,results/paper1_final/04_lpa/04_lpa_comparison_table.csv,K; BIC,5,K=2 5932.85; K=3 5906.63; K=4 4657.05; K=5 4633.42; K=6 2129.17,Line plot with markers,K=6 min BIC under primary specification only
5,Six-profile configuration of intention and behaviour,results/paper1_final/05_profiles/05_k6_profile_table.csv,INT_mean; BE_mean per profile,1166,P0 5.0000/4.4657; P1 3.3369/3.5597; P2 4.4784/3.9571; P3 2.3333/2.3444; P4 4.4383/4.9120; P5 4.0000/3.8948,Connected profile plot,Profile labels have no intrinsic meaning beyond numerical configuration
6,Profile-specific intention-behaviour discrepancy,results/paper1_final/05_profiles/05_k6_profile_table.csv,INT_minus_BE per profile; N,1166,P0 +0.5343 N=124; P1 -0.2228 N=377; P2 +0.5213 N=262; P3 -0.0111 N=90; P4 -0.4738 N=54; P5 +0.1052 N=259,Signed bar chart,Central figure of the paper
7,Classification quality (maximum posterior probability),results/paper1_final/04_lpa/posterior_probabilities.csv,Max posterior across 6 profiles,1166,Mean=0.8917; Median=0.9618; >=0.90 66.12%; >=0.80 75.30%; >=0.70 88.85%; <0.50 0%,Histogram with threshold lines,NOT 07_classification_table.csv
8,Bootstrap stability of profile-specific direction,results/paper1_final/05_profiles/configuration_stability.csv,pct_INT_gt_BE and pct_BE_gt_INT per profile,200,P0 80.5/19.5; P1 12.5/87.5; P2 87.5/12.5; P3 18.0/82.0; P4 2.5/97.5; P5 48.0/52.0,Horizontal bar chart,P5 highlighted as near-chance; profiles NOT equally stable
9,FDR-significant predictor contrasts,results/paper1_final/06_predictors/predictor_summary.csv,n_significant_contrasts per predictor,65,PRI 5; PU 5; SNO 4; Occupation 3; ATT 2; COVID 1; gender 1; rest 0; 21/65 total,Horizontal bar chart,Max VIF=67.44 caveat
10,Cross-validation support for the six-profile specification,results/paper1_strengthening/cv5_aggregated_by_k.csv,K; mean_ll_test; sd_ll_test,5 folds,K=2 -588.90; K=3 -583.17; K=4 -473.97; K=5 -407.55; K=6 -287.58,Line plot with error bars,K=6 highest held-out LL
